Reaction,Level 1: Baseline GEM_FVi,Level 1: Baseline GEM_FVR,Level 2: Single Enzyme_FVi,Level 2: Single Enzyme_FVR,Level 3a: + Isoenzymes_FVi,Level 3a: + Isoenzymes_FVR,Level 3b: + Complexes_FVi,Level 3b: + Complexes_FVR,Level 3c: + Promiscuous_FVi,Level 3c: + Promiscuous_FVR,Level 4: All Constraints_FVi,Level 4: All Constraints_FVR,Level 5: Post-Tuned_FVi,Level 5: Post-Tuned_FVR
PLIPA2A141pp,0.9999999999603243,2.5204324324320835,0.0,0.0,0.0,0.0,0.0,0.0,0.9999950806048598,2.03276023190302e-05,0.999999999995756,23.561871643134275,0.999997301685078,3.70600663978267e-05
EX_arab__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_fe3dcit_e,0.9999999998391524,0.6217066666664418,0.0,0.0,0.0,0.0,0.0,0.0,0.999999080489216,0.0001087533825475,0.9999999999819403,5.537186519636352,0.9999992097813053,0.0001265471465843
EX_3amp_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFGTHi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACGK,0.9433211318499661,7.7713333333315715,-6.419404968661543e-10,3.3304997648642143e-10,5.918806083718081e-10,3.0707802967100406e-10,-6.419404968661543e-10,3.3304997648642143e-10,0.002995705687050214,8.422759801170014e-05,0.9994660996098473,43.57951979132647,0.00104037209150795,0.00010658238866079889
PE120abcpp,0.9999999999785537,4.662799999999409,0.0,0.0,0.66487483297957,1.98395972135103e-10,0.0,0.0,0.999997945159969,4.86654888002147e-05,0.9999999999977058,43.5894625397977,0.9999987063206267,7.7298805785784e-05
GAMptspp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPM2,0.9999999999921031,12.663212737124418,1.1745121271270411,6.73026079311967e-10,0.7881791331174862,3.72097019862849e-10,1.1745121271270411,6.73026079311967e-10,0.9999992536418801,0.0001339838379408,0.9999999999986451,73.80494722284058,0.9999996188214657,0.0002623441586138
EX_glyc__R_e,0.999999999956035,2.274536585366563,0.0,0.0,0.0,0.0,0.0,0.0,0.9999997947617704,0.0004872385599035,0.9999999999951369,20.562745996147257,0.9999997652849035,0.0004260483370356
UDPGALPpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12DGR140tipp,0.9999999999903492,10.36177777777557,0.0,0.0,0.809261719673879,4.24278607466848e-10,0.0,0.0,0.9999994145385582,0.0001708053414416,0.9999999999989676,96.86547231066312,0.9999995137375888,0.0002056501778934
OXCOAHDH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELabcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTDK1,0.9999999999957108,23.313999999994827,0.0,0.0,0.8771888012920813,7.14257991551972e-10,0.0,0.0,0.9999996771741053,0.0003097643941613,0.9999999999995413,217.9473126989941,0.9999997554157566,0.000408856981701
LIPOtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMAOR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_dad_2_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_ca2_e,-0.05263157955419209,0.00045647705010909943,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
MDDEP3pp,0.9999999998992022,0.9920851063828596,0.0,0.0,0.0,0.0,0.0,0.0,0.9999930008414276,1.42873316914695e-05,0.9999999999893375,9.37866362803144,0.9999939884068567,1.6634425593698e-05
FTHFLi,0.999999999995721,23.369419438180937,0.9999999535158733,0.0021512718983761,0.9999999535159636,0.0021512760739392,0.9999999535158733,0.0021512718983761,0.9999998276603976,0.0005802495852687,0.9999999999995413,217.95007554315288,0.9999998735716311,0.0007909616194007
I2FE2SS,0.9999996013097825,0.0002508212033261,-1.6945951512459076e-06,8.500823999802246e-10,1.4238875445781758e-06,7.142814999953721e-10,-1.6945951512459076e-06,8.500823999802246e-10,0.9999926595432629,1.36230304919495e-05,0.9999911610612764,1.13134754333631e-05,0.9999979893660792,4.97354580065468e-05
PPC,0.9999999999961589,26.0337589249936,-8.731861271941584e-10,4.533769804027088e-09,7.336946811319464e-10,3.809500270790522e-09,-8.731861271941584e-10,4.533769804027088e-09,0.0225456118482113,0.006464542011041019,0.0,0.0,0.0007710704823917795,0.0007898738912430758
PRAGSr,0.7311186711588072,1.923058261229817,-1.2774562204467074e-10,1.0038497810782587e-10,8.318711549423394e-11,6.537004271223168e-11,-1.2774562204467074e-10,1.0038497810782587e-10,0.000702742417028084,2.9843215770597453e-05,0.9979471477649762,17.13232512886502,0.00024091641627515918,3.735285463329907e-05
UPPDC1,0.997379593669581,0.1339885057471036,-1.249038545430055e-08,4.88550001777506e-12,1.0495195967233728e-08,4.105099994742428e-12,-1.249038545430055e-08,4.88550001777506e-12,0.2732607643024568,7.9464190622668e-06,0.9999859414814538,1.2483887853092912,0.12057079611681693,1.0578033529299e-05
ARGAGMt7pp,-1.6746987952478019,4.1707155727150536,-0.6591466590995264,1.93381310964469e-10,-2.2142747068915467,1.82353687705472e-10,-0.6591466590995264,1.93381310964469e-10,211.1971573737324,8.41788634033946e-05,0.0,0.0,-33.34077578586873,0.00011319362272388389
FRULYSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NACtex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6PA,-46.81677888410753,45.65286112420641,0.9999999991324121,2.2758138854570658,1.0000000006783998,2.275813894350566,0.9999999991324121,2.2758138854570658,0.0006133123665094738,0.007164761806960129,0.0,0.0,0.00046522972064140235,0.009160532540370525
LYSt3pp,0.9999999999978554,46.62799999999432,0.0,0.0,0.9345790827730988,1.4285630993703e-09,0.0,0.0,0.9999999068690387,0.0010737566687185,0.9999999999997706,435.8946253979879,0.9999999628820914,0.002694117208619
SUCBZS,4.810112374661735e-25,4.8101123746617356e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999804856134274,5.12432446644601e-06
EX_hom__L_e,0.9999999999238655,1.3134647887321926,0.0,0.0,0.0,0.0,0.0,0.0,0.9999994008495214,0.000166902879454,0.9999999999919486,12.42018726481506,0.9999994331739677,0.0001764208727427
AP4AS,0.9999999999914214,11.65699999999928,0.0,0.0,0.8130919146581655,4.3502233366261803e-10,0.0,0.0,0.9999993906838792,0.0001641183216291,0.9999999999990823,108.97365634949628,0.9999995225125833,0.0002094295027573
FECRMabcpp,0.9999999999865978,7.46149415256187,0.0,0.0,0.7130112846554677,2.48445756412231e-10,0.0,0.0,0.9999994760304535,0.0001908506863854,0.9999999999985661,69.74319062527157,0.9999996011778804,0.0002507382494297
GLCabcpp,0.99999999999,10.0,0.0,0.0,0.8771922059102528,7.14280565343602e-10,0.0,0.0,0.9999997550575735,0.0004082591037039,0.99999999999,10.000000000000002,0.9999997124396421,0.0003477529794411
CYTD,0.9999999999871436,7.778217586040055,0.0,0.0,0.7269481901169976,2.66230863083633e-10,0.0,0.0,0.9999993915523411,0.0001643525744638,0.9999999999986235,72.6494474543287,0.9999994001250777,0.0001667013177179
EX_gly_e,0.9999999999678815,3.113463289603936,0.0,0.0,0.600469846610148,1.50293999467976e-10,0.0,0.0,0.9999999815363477,0.0054160464314815,0.9999999789544919,0.0047516076676669,0.9999999948500982,0.0194178461308472
